1	0	1
3	3	11
2902	11	569
4571	319	2138
21	2	22
866	66	149
347	50	79
1289	1	316
70	12	13
411	10	98
88	2	54
0	0	0
2	1	5
49	2	1
40	1	17
18	0	1
18	80	1
45	3	3
8857	112	12711
225	8	0
2061	198	1083
11	0	0
83	2	58
46	0	14
68	5	76
463	20	4
310	4	41
63	39	94
26	0	72
0	0	0
448	2	0
1062	4	71
421	2	25
2	3	10
12	0	19
166	4	4
31	32	16
77	0	60
113	3	579
56	11	152
701	5	36
2	0	2
12	14	181
394	30	20
210	7	621
63	1	222
88	0	1
2659	0	6
191	1	22
1878	2	87
11	1	1
538	10	12
1067	0	759
3162	944	597
232	0	11
84	0	4
17	0	5
16	0	21
44	3	11
56	4	4
23	50	242
66	2	6
12	6	6
99	1	2
3	0	0
182	6	0
77	382	10
179	0	273
310	29	43
45	7	1
36	1	21
2542	313	0
37	1	0
263	0	1
12	28	0
50	1	116
1454	57	72
776	27	25
178	2	1
156	538	20
58	0	4
1	0	12
175	0	455
150	30	11
5650	1000	8827
137	0	8
25	11	32
8	0	0
50	2	28
7	0	5
92	0	255
253	9	108
1221	13	0
1	0	0
131	36	57
0	23	41
332	12	39
42	3	18
84	14	111
979	0	177
2985	14	737
163	6	2176
2534	9	161
47	1	10
0	2	1
7	0	11
44	2	1
15	0	0
9	1	19
74	5	63
0	0	2
615	25	0
64	0	25
0	0	0
58	26	85
3376	15	2692
22	0	8
24	2	5
32532	2291	1804
346	11	288
112	1	11
226	0	66
26	2	544
0	3	10
108	11	6
38	31	0
1	0	17
0	0	0
21	1	23
13	8	5
14	23	1
2645	8	279
369	0	45
543	79	1009
12	2	339
210	1	24
0	0	2
460	301	16612
225	2	161
28	15	649
15	2	4
0	0	31622
485	0	12
318	0	10
212	1	6
53	2	2
69	0	3
47	7	205
1208	1	51
28	8	33
10	0	5
253	0	25
8	0	2
62	7	1
191	124	591
150	1	328
49	5	1
10486	15	1573
89	96	76
7	0	3
25	2	23
80	0	37
17879	58	61
375	6	429
463	3	26
246	0	531
480	29	22
1248	0	4
299	2	121
162	1	0
259	1	0
67	5	4
47	30	1209
3538	1032	20
3	3	15
281	1	144
8853	0	1048
5527	336	1328
1829	14	116
18	0	1
53	0	265
0	0	1
515	3	9
148	63	532
5974	20	189
673	13	14
121	23	57
132	11	36
15	2	40
1181	29	2962
222	961	1379
73	0	1
37	14	19
87	1	16
73	1	615
322	0	6
6	7	0
65	7	78
90	297	31
67	1	31
